ts,open,high,low,close,volume
1763408220000,92517.31,92517.31,92311.47,92311.47,0.00154
1763408280000,92000.17,92000.17,91995.0,91995.0,0.15814
1763408340000,91978.25,91978.25,91940.21,91940.21,0.00619
1763408400000,91937.56,92164.25,91897.72,92164.25,0.00435
1763408460000,91897.99,91897.99,91897.99,91897.99,0.00048
1763408520000,92161.64,92161.64,92161.64,92161.64,0.04305
1763408580000,91898.0,91898.0,91837.91,91837.91,0.03973
1763408640000,91897.17,91957.67,91897.17,91957.67,0.00287
1763408700000,91815.17,91815.17,91809.8,91809.8,0.03481
1763408760000,91809.44,91959.77,91760.56,91959.77,0.1524
1763408820000,91726.02,91726.02,91708.43,91708.43,0.00039
1763408880000,91707.55,91921.71,91657.98,91921.63,0.00568
1763408940000,91921.63,91921.63,91921.63,91921.63,0.0
1763409000000,91964.98,91965.0,91964.98,91965.0,0.02921
1763409060000,91965.0,91965.0,91965.0,91965.0,0.0
1763409120000,92103.16,92103.16,92103.16,92103.16,0.00027
1763409180000,92004.35,92004.35,92004.35,92004.35,0.00027
1763409240000,92004.35,92004.35,92004.35,92004.35,0.0
1763409300000,92002.27,92002.27,91647.35,91647.35,0.00437
1763409360000,91647.35,91647.35,91647.35,91647.35,0.0
1763409420000,91959.85,91959.85,91959.85,91959.85,5e-05
1763409480000,91959.85,91959.85,91959.85,91959.85,0.0
1763409540000,91934.26,91934.26,91933.46,91933.46,0.00484
1763409600000,91933.41,91933.41,91569.01,91569.01,0.07557
1763409660000,91569.0,91569.0,91500.0,91500.0,0.25756
1763409720000,91500.0,91500.01,91500.0,91500.0,0.06438
1763409780000,91500.0,91500.0,91406.0,91406.0,0.0474
1763409840000,91499.99,91499.99,91335.38,91499.91,0.10947
1763409900000,91643.41,91917.64,91336.18,91917.64,0.07072
1763409960000,91917.48,91917.48,91917.29,91917.29,0.05461
1763410020000,91917.29,91917.29,91917.29,91917.29,0.0
1763410080000,91917.29,91917.29,91917.29,91917.29,0.0
1763410140000,91325.11,91742.76,91325.11,91742.58,0.00015
1763410200000,91741.71,91741.71,91741.71,91741.71,0.00063
1763410260000,91741.46,91741.46,91740.88,91740.88,0.00019
1763410320000,91357.22,91740.43,91357.0,91357.0,0.00043
1763410380000,91357.04,91740.1,91357.04,91740.01,0.00085
1763410440000,91740.01,91740.01,91740.01,91740.01,0.0
1763410500000,91740.01,91740.01,91740.01,91740.01,0.0
1763410560000,91680.61,91680.61,91680.61,91680.61,0.01456
1763410620000,91740.06,91742.58,91740.06,91742.58,0.16104
1763410680000,91742.58,91742.58,91742.58,91742.58,0.0
1763410740000,91742.58,91742.58,91742.58,91742.58,0.0
1763410800000,91603.78,91603.78,91603.77,91603.77,0.07162
1763410860000,91603.77,91603.77,91603.77,91603.77,0.0
1763410920000,91915.88,91915.88,91915.88,91915.88,0.00027
1763410980000,91915.88,91915.88,91915.88,91915.88,0.0
1763411040000,91917.79,91976.45,91917.79,91976.45,0.00108
1763411100000,91999.39,92082.61,91999.39,92082.61,0.01249
1763411160000,92082.61,92125.77,91847.83,91847.83,0.01884
1763411220000,92125.55,92125.55,92125.55,92125.55,0.00054
1763411280000,92123.39,92123.39,92123.39,92123.39,0.00054
1763411340000,91698.0,91698.0,91698.0,91698.0,0.00047
1763411400000,92042.08,92042.08,92042.08,92042.08,7e-05
1763411460000,92040.48,92040.48,92040.48,92040.48,0.001
1763411520000,91711.29,92039.34,91711.29,91711.36,0.06532
1763411580000,91638.73,91931.43,91638.7,91931.43,0.01879
1763411640000,91930.51,91930.51,91930.51,91930.51,0.00108
1763411700000,91930.51,91930.51,91930.51,91930.51,0.0
1763411760000,92122.71,92122.71,92122.71,92122.71,0.00014
1763411820000,92122.13,92124.19,92122.09,92124.19,0.4034
1763411880000,91804.6,91804.6,91804.6,91804.6,0.01624
1763411940000,91605.0,91605.0,91605.0,91605.0,0.00033
1763412000000,91605.0,91605.0,91605.0,91605.0,0.0
1763412060000,91533.89,91533.89,91533.51,91533.51,0.00033
1763412120000,91863.79,91863.79,91863.79,91863.79,8e-05
1763412180000,91863.79,91863.79,91863.79,91863.79,0.0
1763412240000,91863.79,91863.79,91863.79,91863.79,0.0
1763412300000,91749.95,91749.95,91749.95,91749.95,0.00033
1763412360000,91749.95,91749.95,91749.95,91749.95,0.0
1763412420000,92056.75,92056.75,92056.75,92056.75,1e-05
1763412480000,92056.75,92056.75,92056.75,92056.75,0.0
1763412540000,91691.22,92055.32,91691.21,92055.32,0.08434
1763412600000,92055.37,92125.74,92055.37,92125.66,0.02862
1763412660000,92125.64,92208.1,91887.59,92208.01,0.03121
1763412720000,91907.4,92207.74,91907.16,91908.1,0.00185
1763412780000,91908.21,92190.13,91750.13,91750.32,0.00096
1763412840000,91750.32,91750.32,91750.32,91750.32,0.0
1763412900000,91750.32,91750.32,91750.32,91750.32,0.0
1763412960000,91750.32,91750.32,91750.32,91750.32,0.0
1763413020000,91750.32,91750.32,91750.32,91750.32,0.0
1763413080000,92000.01,92000.01,92000.0,92000.0,0.03143
1763413140000,92000.0,92000.0,92000.0,92000.0,0.0
1763413200000,92000.0,92000.0,92000.0,92000.0,0.0
1763413260000,92000.0,92000.0,92000.0,92000.0,0.0
1763413320000,92208.11,92208.11,92208.11,92208.11,2e-05
1763413380000,92001.15,92001.15,92001.15,92001.15,0.05434
1763413440000,92207.44,92207.44,92207.44,92207.44,8e-05
1763413500000,92207.34,92207.34,92207.24,92207.24,0.00984
1763413560000,92207.21,92207.21,92207.21,92207.21,0.00021
1763413620000,92002.62,92002.62,92002.62,92002.62,2e-05
1763413680000,92207.24,92207.24,92207.24,92207.24,0.00546
1763413740000,92207.24,92208.1,92207.24,92207.82,0.00087
1763413800000,92208.1,92208.1,92208.1,92208.1,5e-05
1763413860000,92208.11,92210.66,92208.11,92210.66,0.00046
1763413920000,92210.66,92210.66,92210.66,92210.66,0.0
1763413980000,92210.66,92210.66,92210.66,92210.66,0.0
1763414040000,92009.62,92009.62,92009.62,92009.62,9e-05
1763414100000,92240.79,92240.79,92240.11,92240.11,0.00093
1763414160000,92239.96,92239.97,92000.0,92000.0,0.1069
1763414220000,91928.69,91928.69,91880.96,91880.96,0.03781
1763414280000,91880.96,91880.96,91819.19,91880.96,0.00391
1763414340000,91880.96,91880.96,91880.96,91880.96,0.0
1763414400000,91657.98,91657.98,91657.98,91657.98,0.0001
1763414460000,91940.03,91940.03,91940.03,91940.03,0.00044
1763414520000,91940.03,91940.03,91940.03,91940.03,0.0
1763414580000,91938.24,91938.24,91938.24,91938.24,0.00027
1763414640000,91938.24,91938.24,91938.24,91938.24,0.0
1763414700000,91615.23,91615.23,91615.23,91615.23,0.00044
1763414760000,92108.69,92108.69,92108.69,92108.69,8e-05
1763414820000,92108.69,92108.69,92108.69,92108.69,0.0
1763414880000,92108.69,92108.69,92108.69,92108.69,0.0
1763414940000,92108.69,92108.69,92108.69,92108.69,0.0
1763415000000,92108.69,92108.69,92108.69,92108.69,0.0
1763415060000,91645.88,91645.88,91645.88,91645.88,0.00017
1763415120000,91645.88,91645.88,91645.88,91645.88,0.0
1763415180000,91937.6,91937.6,91937.6,91937.6,0.00217
1763415240000,91937.6,91937.6,91937.6,91937.6,0.0
1763415300000,91937.6,91937.6,91937.6,91937.6,0.0
1763415360000,91937.6,91937.6,91937.6,91937.6,0.0
1763415420000,91620.98,91620.98,91592.96,91592.96,0.01165
1763415480000,91592.96,91592.96,91592.96,91592.96,0.0
1763415540000,91592.96,91592.96,91592.96,91592.96,0.0
1763415600000,91592.96,91592.96,91592.96,91592.96,0.0
1763415660000,91592.96,91592.96,91592.96,91592.96,0.0
1763415720000,91921.26,91921.26,91921.23,91921.23,0.03126
1763415780000,91921.23,92108.88,91921.23,92108.88,0.02019
1763415840000,92108.71,92108.71,92108.71,92108.71,1e-05
1763415900000,92108.71,92108.71,92108.71,92108.71,0.0
1763415960000,92097.65,92097.65,91693.24,91956.33,0.11907
1763416020000,91956.03,91956.03,91593.83,91955.89,0.00065
1763416080000,91593.88,91938.32,91593.88,91593.99,0.00135
1763416140000,91937.57,91937.57,91595.31,91595.47,0.00085
1763416200000,91936.44,91936.44,91597.03,91936.15,0.00074
1763416260000,91597.34,91935.6,91597.34,91599.56,0.0012
1763416320000,91935.42,91935.42,91608.15,91637.45,0.001
1763416380000,91637.81,91934.96,91637.81,91934.74,0.00098
1763416440000,91692.44,91934.74,91692.44,91934.66,0.04946
1763416500000,91934.53,91934.53,91934.36,91934.36,0.00085
1763416560000,91934.35,91943.71,91934.35,91943.71,0.00087
1763416620000,91943.71,91943.71,91943.71,91943.71,0.00022
1763416680000,92078.28,92078.28,91742.6,91745.35,0.00245
1763416740000,92077.65,92077.65,91746.33,92077.57,0.00207
1763416800000,91751.95,91751.95,91751.95,91751.95,0.00038
1763416860000,91754.29,91754.29,91754.29,91754.29,0.00041
1763416920000,92069.77,92069.77,91754.97,92069.23,0.00067
1763416980000,91756.17,91756.17,91756.17,91756.17,8e-05
1763417040000,91758.05,91998.81,91758.05,91998.47,0.00137
1763417100000,91998.42,91998.42,91760.94,91998.21,0.00126
1763417160000,91997.99,91997.99,91997.99,91997.99,0.00054
1763417220000,91762.67,91998.22,91762.67,91998.22,0.00108
